?јдр,«нчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,јдр,«нчн
075,0200,075,0000,000,0000,000,0000,0000,004,0100
075,0200,076,0200,075,0200,000,0075,0000,004,0100
076,EE19,077,EE19,090,0000,000,0019,0000,004,0100,090,0000
077,AE16,078,AE16,08E,00B8,000,0016,00B8,000,0000
078,0700,079,0700,078,0700,000,0078,00B9,000,0000
079,0C00,07A,0C00,7FF,00B9,7FF,0079,00B9,000,0000,7FF,00B9
07A,D694,694,D694,7FE,007B,7FE,D694,00B9,000,0000,7FE,007B
694,AC01,695,AC01,7FF,00B9,7FE,0001,00B9,000,0000
695,F204,696,F204,695,F204,7FE,0695,00B9,000,0000
696,F003,697,F003,696,F003,7FE,0696,00B9,000,0000
697,7E09,698,7E09,6A1,00D0,7FE,0009,00B9,008,1000
698,F005,699,F005,698,F005,7FE,0698,00B9,008,1000
699,F804,69E,F804,699,F804,7FE,0004,00B9,008,1000
69E,AE02,69F,AE02,6A1,00D0,7FE,0002,00D0,000,0000
69F,EC01,6A0,EC01,7FF,00D0,7FE,0001,00D0,000,0000,7FF,00D0
6A0,0A00,07B,0A00,7FE,007B,7FF,06A0,00D0,000,0000
07B,0800,07C,0800,7FF,00D0,000,007B,00D0,000,0000
07C,4E13,07D,4E13,090,0000,000,0013,00D0,000,0000
07D,EE12,07E,EE12,090,00D0,000,0012,00D0,000,0000,090,00D0
07E,AE10,07F,AE10,08F,00AA,000,0010,00AA,000,0000
07F,0C00,080,0C00,7FF,00AA,7FF,007F,00AA,000,0000,7FF,00AA
080,D694,694,D694,7FE,0081,7FE,D694,00AA,000,0000,7FE,0081
694,AC01,695,AC01,7FF,00AA,7FE,0001,00AA,000,0000
695,F204,696,F204,695,F204,7FE,0695,00AA,000,0000
696,F003,697,F003,696,F003,7FE,0696,00AA,000,0000
697,7E09,698,7E09,6A1,00D0,7FE,0009,00AA,008,1000
698,F005,699,F005,698,F005,7FE,0698,00AA,008,1000
699,F804,69E,F804,699,F804,7FE,0004,00AA,008,1000
69E,AE02,69F,AE02,6A1,00D0,7FE,0002,00D0,000,0000
69F,EC01,6A0,EC01,7FF,00D0,7FE,0001,00D0,000,0000,7FF,00D0
6A0,0A00,081,0A00,7FE,0081,7FF,06A0,00D0,000,0000
081,0800,082,0800,7FF,00D0,000,0081,00D0,000,0000
082,0700,083,0700,082,0700,000,0082,00D1,000,0000
083,4E0C,084,4E0C,090,00D0,000,000C,01A1,000,0000
084,EE0B,085,EE0B,090,01A1,000,000B,01A1,000,0000,090,01A1
085,AE07,086,AE07,08D,1111,000,0007,1111,000,0000
086,0C00,087,0C00,7FF,1111,7FF,0086,1111,000,0000,7FF,1111
087,D694,694,D694,7FE,0088,7FE,D694,1111,000,0000,7FE,0088
694,AC01,695,AC01,7FF,1111,7FE,0001,1111,000,0000
695,F204,696,F204,695,F204,7FE,0695,1111,000,0000
696,F003,697,F003,696,F003,7FE,0696,1111,000,0000
697,7E09,698,7E09,6A1,00D0,7FE,0009,1111,001,0001
698,F005,699,F005,698,F005,7FE,0698,1111,001,0001
699,F804,69A,F804,699,F804,7FE,0699,1111,001,0001
69A,4C01,69B,4C01,7FF,1111,7FE,0001,2222,000,0000
69B,4C01,69C,4C01,7FF,1111,7FE,0001,3333,000,0000
69C,4E05,69D,4E05,6A2,00B7,7FE,0005,33EA,000,0000
69D,CE01,69F,CE01,69D,069F,7FE,0001,33EA,000,0000
69F,EC01,6A0,EC01,7FF,33EA,7FE,0001,33EA,000,0000,7FF,33EA
6A0,0A00,088,0A00,7FE,0088,7FF,06A0,33EA,000,0000
088,0800,089,0800,7FF,33EA,000,0088,33EA,000,0000
089,0740,08A,0740,089,0740,000,0089,33E9,001,0001
08A,4E05,08B,4E05,090,01A1,000,0005,358A,000,0000
08B,EE04,08C,EE04,090,358A,000,0004,358A,000,0000,090,358A
08C,0100,08D,0100,08C,0100,000,008C,358A,000,0000
